№ вопроса,Блок,Применимость,Исходный номер,Основной раздел,Вопрос,Ответ 1,Ответ 2,Ответ 3,Правильный вариант,Правильный ответ,Все группы вопроса,Примечание
322.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,3.27,Первая помощь,Что необходимо сделать при ожоговой ране?,Очистить рану и промыть ее холодной водой.,Наложить чистую увлажненную повязку.,"Смазать рану маслом, наложить повязку.",2,Наложить чистую увлажненную повязку.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Первая помощь; Первая помощь / все вопросы; Первая помощь / кровотечения, ранения, жгуты и повязки; Первая помощь / травмы, переломы, ожоги, отравления",
323.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,3.28,Первая помощь,При повреждении костей предплечья или голени шину накладывают:,С захватом только верхнего (по отношению к месту перелома) сустава.,С захватом двух суставов (выше и ниже места перелома).,С захватом трех суставов.,2,С захватом двух суставов (выше и ниже места перелома).,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Первая помощь; Первая помощь / все вопросы; Первая помощь / травмы, переломы, ожоги, отравления",
324.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,3.29,Первая помощь,При повреждении костей плеча или бедра шину накладывают:,С захватом только верхнего (по отношению к месту перелома) сустава.,С захватом только двух суставов (выше и ниже места перелома).,С захватом трех суставов (двух ниже и одного выше места перелома).,3,С захватом трех суставов (двух ниже и одного выше места перелома).,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Первая помощь; Первая помощь / все вопросы; Первая помощь / травмы, переломы, ожоги, отравления",
325.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,3.30,Первая помощь,Порядок оказания первой помощи при открытых переломах.,"Обезболить (по возможности), наложить повязку, наложить шину.","Наложить шину, наложить повязку на рану.",Наложить шину и обезболить (по возможности).,1,"Обезболить (по возможности), наложить повязку, наложить шину.","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Первая помощь; Первая помощь / все вопросы; Первая помощь / вызов помощи, безопасность, порядок действий; Первая помощь / травмы, переломы, ожоги, отравления",
326.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,3.31,Первая помощь,При каких действиях достигается наибольшая эффективность оказания помощи при выведении пострадавшего из обморока?,"При укутывании пострадавшего в одеяло, приведения его в боковое устойчивое положение.","При поднятии ног пострадавшего выше уровня тела, при скручивающем нажатии на середину грудины, при наличии нашатырного спирта - при поднесении к носу и смазывании висков ваткой, смоченной нашатырным спиртом.",При нажатии на точку в центре носогубного треугольника.,2,"При поднятии ног пострадавшего выше уровня тела, при скручивающем нажатии на середину грудины, при наличии нашатырного спирта - при поднесении к носу и смазывании висков ваткой, смоченной нашатырным спиртом.","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Первая помощь; Первая помощь / все вопросы; Первая помощь / СЛР, ИВЛ и критические состояния",
327.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,3.32,Первая помощь,Как проверяется пульс при бессознательном состоянии пострадавшего и при травмах?,Пульс проверяется на запястье.,Пульс проверяется на сонной артерии.,Приложив ухо к груди прослушивается сердцебиение.,2,Пульс проверяется на сонной артерии.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Первая помощь; Первая помощь / все вопросы; Первая помощь / СЛР, ИВЛ и критические состояния",
328.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,3.33,Первая помощь,Что надо сделать для определения наличия дыхания при бессознательном состоянии пострадавшего?,Поднести зеркальце или птичье перо к носу пострадавшего.,Поднести к носу пострадавшего внутреннюю сторону своего запястья или щеку.,Приложить ухо к груди пострадавшего и прослушать дыхание.,2,Поднести к носу пострадавшего внутреннюю сторону своего запястья или щеку.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Первая помощь; Первая помощь / все вопросы; Первая помощь / СЛР, ИВЛ и критические состояния",
329.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,3.34,Первая помощь,В каком объеме проводятся мероприятия при прекращении сердечной деятельности и дыхания у пострадавшего?,"Освобождение дыхательных путей, проведение ИВЛ (искусственной вентиляции легких) и НМС (непрямого массажа сердца).",Проведение НМС (непрямого массажа сердца).,"Освобождение дыхательных путей, проведение ИВЛ (искусственной вентиляции легких).",1,"Освобождение дыхательных путей, проведение ИВЛ (искусственной вентиляции легких) и НМС (непрямого массажа сердца).","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Первая помощь; Первая помощь / все вопросы; Первая помощь / СЛР, ИВЛ и критические состояния",
330.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,3.35,Первая помощь,Положение пострадавшего при проведении сердечно-легочной реанимации:,"На спине, на ровной жесткой поверхности (колени реанимирующего на уровне спины пострадавшего).","В том положении, в котором был обнаружен пострадавший (колени реанимирующего выше уровня спины пострадавшего).",На спине на кровати (колени реанимирующего ниже уровня спины пострадавшего).,1,"На спине, на ровной жесткой поверхности (колени реанимирующего на уровне спины пострадавшего).","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Первая помощь; Первая помощь / все вопросы; Первая помощь / СЛР, ИВЛ и критические состояния",
331.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,3.36,Первая помощь,При проведении ИВЛ (искусственной вентиляции легких) методом «рот ко рту» необходимо:,Свободной рукой плотно зажимать нос пострадавшего.,"Зажимать нос пострадавшего только в случае, если носовые ходы свободны.",Нос пострадавшему не зажимать.,1,Свободной рукой плотно зажимать нос пострадавшего.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Первая помощь; Первая помощь / все вопросы; Первая помощь / СЛР, ИВЛ и критические состояния",
332.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,3.37,Первая помощь,При проведении ИВЛ (искусственной вентиляции легких) методом «рот к носу» необходимо:,Свободной рукой открывать рот пострадавшего для обеспечения выдоха.,"Свободной рукой плотно удерживать нижнюю челюсть пострадавшего, чтобы его рот был закрыт.",Не проводить никаких манипуляций с нижней челюстью пострадавшего.,2,"Свободной рукой плотно удерживать нижнюю челюсть пострадавшего, чтобы его рот был закрыт.","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Первая помощь; Первая помощь / все вопросы; Первая помощь / СЛР, ИВЛ и критические состояния",
333.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,3.38,Первая помощь,Особенности проведения ИВЛ (искусственной вентиляции легких) детям:,"Частота вдуваний воздуха и объем вдуваемого воздуха, по сравнению со взрослыми пострадавшими, не меняется.",Увеличивается частота вдуваний воздуха с обязательным уменьшением объема вдуваемого воздуха.,Уменьшается частота вдуваний воздуха с обязательным уменьшением объема вдуваемого воздуха.,2,Увеличивается частота вдуваний воздуха с обязательным уменьшением объема вдуваемого воздуха.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Первая помощь; Первая помощь / все вопросы; Первая помощь / СЛР, ИВЛ и критические состояния",
334.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,3.39,Первая помощь,Частота вдуваний воздуха в минуту при проведении ИВЛ (искусственной вентиляции легких) составляет:,"6-8 вдуваний в минуту для взрослых, 8-10 для детей.","8-10 вдуваний в минуту для взрослых, 12-20 для детей.","20-24 вдуваний в минуту для взрослых, 30-36 для детей.",2,"8-10 вдуваний в минуту для взрослых, 12-20 для детей.","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Первая помощь; Первая помощь / все вопросы; Первая помощь / СЛР, ИВЛ и критические состояния",
335.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,3.40,Первая помощь,"Ритм сердечно-легочной реанимации, выполняемой при оказании первой помощи:",5 надавливаний на грудную клетку – 1 вдувание воздуха.,15 надавливаний на грудную клетку – 2 вдувания воздуха.,30 надавливаний на грудную клетку – 2 вдувания воздуха.,3,30 надавливаний на грудную клетку – 2 вдувания воздуха.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Первая помощь; Первая помощь / все вопросы; Первая помощь / СЛР, ИВЛ и критические состояния",
336.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,3.41,Первая помощь,Промывание желудка при отравлении в порядке первой помощи (немедицинским персоналом и без желудочного зонда) запрещено:,"При отравлениях у лиц, не имеющих при себе документов, удостоверяющих личность.","При отравлениях кислотами, щелочами, нефтепродуктами, при судорогах, в случае потери сознания пострадавшим.",При отравлениях у несовершеннолетних детей.,2,"При отравлениях кислотами, щелочами, нефтепродуктами, при судорогах, в случае потери сознания пострадавшим.","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Первая помощь; Первая помощь / все вопросы; Первая помощь / травмы, переломы, ожоги, отравления",
337.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.1,Специальные средства,"Предусмотрено ли нормативными правовыми актами Российской Федерации применение работником юридического лица с особыми уставными задачами специальных средств для отражения нападения, непосредственно угрожающего жизни и здоровью лиц, находящихся на объекте?","Нет, не предусмотрено.",Предусмотрено только в состоянии необходимой обороны.,"Да, предусмотрено.",3,"Да, предусмотрено.",Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы,
338.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.2,Специальные средства,"В каких случаях работнику юридического лица с особыми уставными задачами не запрещается применять специальные средства в отношении женщин с видимыми признаками беременности, лиц с явными признаками инвалидности и малолетних?","В случае оказания указанными лицами вооруженного сопротивления, совершения нападения, угрожающего жизни или здоровью работников юридического лица с особыми уставными задачами, либо лиц, находящихся на охраняемом объекте.","В случаях оказания указанными лицами группового сопротивления или нападения, угрожающего жизни и здоровью работников юридического лица с особыми уставными задачами или охраняемому имуществу.",В случае отказа указанными лицами подчиниться требованию работника юридического лица с особыми уставными задачами проследовать в помещение охраны.,1,"В случае оказания указанными лицами вооруженного сопротивления, совершения нападения, угрожающего жизни или здоровью работников юридического лица с особыми уставными задачами, либо лиц, находящихся на охраняемом объекте.",Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы,
339.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.3,Специальные средства,Как меняется время непрерывного ношения бронежилета (жилета защитного) при повышении температуры и влажности воздуха:,Уменьшается.,Остается неизменным.,Увеличивается.,1,Уменьшается.,Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы; Спецсредства / бронежилеты и защитные шлемы,
340.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.4,Специальные средства,Как меняется время непрерывного ношения бронежилета (жилета защитного) при понижении температуры воздуха:,Уменьшается.,Остается неизменным.,Увеличивается.,3,Увеличивается.,Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы; Спецсредства / бронежилеты и защитные шлемы,
341.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.5,Специальные средства,Каким дополнительным элементом не комплектуются бронешлемы (шлемы защитные)?,Шейно-плечевой накладкой.,Бармицей для защиты шеи.,Встроенной радиогарнитурой.,1,Шейно-плечевой накладкой.,Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы; Спецсредства / бронежилеты и защитные шлемы,
342.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.6,Специальные средства,"Каким способом проверяется фиксация замков наручников, не угрожающая нормальному кровообращению у правонарушителя?",Визуальным осмотром конечностей правонарушителя на предмет посинения.,Периодическим открытием и закрытием замка наручников.,Проверкой возможности браслетов наручников без затруднений поворачиваться на конечностях правонарушителя.,3,Проверкой возможности браслетов наручников без затруднений поворачиваться на конечностях правонарушителя.,Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы; Спецсредства / наручники,
343.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.7,Специальные средства,Перед надеванием наручников на правонарушителя необходимо:,"Подложить на запястья в тех местах, на которые будут надеваться наручники, ткань, салфетку или платок.",Освободить запястья от одежды.,Получить на применение наручников разрешение руководителя охранной организации.,2,Освободить запястья от одежды.,Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы; Спецсредства / наручники,
344.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.8,Специальные средства,"Палка резиновая ПУС-3, разрешенная для использования работниками юридического лица с особыми уставными задачами выпускается в следующих вариантах:",Раскладная и телескопическая.,Прямая и с боковой ручкой.,Произвольная и штатная.,1,Раскладная и телескопическая.,Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы; Спецсредства / резиновые палки,
345.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.9,Специальные средства,"Палки резиновые ПУС-2 и ПР-Т, разрешенные для использования работниками юридического лица с особыми уставными задачами имеют в своей конструкции:",Выступающий кольцевой элемент (мини-гарду) рукоятки.,Боковую ручку.,Металлический наконечник.,2,Боковую ручку.,Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы; Спецсредства / резиновые палки,
346.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.10,Специальные средства,"Палка резиновая ПР-73М, разрешенная для использования работниками юридического лица с особыми уставными задачами имеет в своей конструкции:",Выступающий кольцевой элемент (мини-гарду) рукоятки.,Боковую ручку.,Металлический наконечник.,1,Выступающий кольцевой элемент (мини-гарду) рукоятки.,Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы; Спецсредства / резиновые палки,
347.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.11,Специальные средства,"Какая из палок резиновых, разрешенных для использования работниками юридического лица с особыми уставными задачами выпускается в варианте «телескопическая»:",ПУС-2.,ПР-Т.,ПУС-3.,3,ПУС-3.,Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы; Спецсредства / резиновые палки,
348.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.12,Специальные средства,"Какие из палок резиновых, разрешенных для использования работниками юридического лица с особыми уставными задачами имеют наибольшую длину (650 мм):",ПУС-1 и ПУС-2.,ПР-Т и ПР-К.,ПУС-3.,1,ПУС-1 и ПУС-2.,Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы,
349.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.13,Специальные средства,"Палки резиновые, разрешенные для использования работниками юридического лица с особыми уставными задачами имеют диаметр:",От 30 до 34 мм.,От 34 до 38 мм.,От 38 до 42 мм.,1,От 30 до 34 мм.,Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы; Спецсредства / резиновые палки,
350.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.14,Специальные средства,"Какая из палок резиновых, разрешенных для использования работниками юридического лица с особыми уставными задачами имеет наибольший вес (850 гр):",ПР-К.,ПР-Т.,ПР-73М.,3,ПР-73М.,Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы,
351.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.15,Специальные средства,"Бронежилеты и бронешлемы (жилеты и шлемы защитные), за исключением изготовленных специально для особых условий эксплуатации, могут терять свои свойства:",При воздействии ультрафиолетового излучения.,При намокании.,При температуре +30°С.,2,При намокании.,Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы; Спецсредства / бронежилеты и защитные шлемы,
352.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.16,Специальные средства,Какие вещества (материалы) запрещается хранить совместно с бронежилетами и бронешлемами (жилетами и шлемами защитными)?,Гидросорбенты (влагопоглотители).,Резиновые изделия (резину).,Масла и кислоты.,3,Масла и кислоты.,Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы; Спецсредства / бронежилеты и защитные шлемы,
353.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.17,Специальные средства,"Хранение каких видов специальных средств, используемых юридическими лицами с особыми уставными задачами, допускается ближе 1 метра от отопительных приборов?",Наручников.,Палок резиновых.,Жилетов и шлемов защитных.,1,Наручников.,Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы; Спецсредства / резиновые палки,
354.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.18,Специальные средства,При ношении бронежилетов (жилетов защитных) скрытого ношения рекомендуется использовать одежду:,"Совпадающую по размеру с той, которую носит использующий бронежилет (жилет защитный) или одежду свободного покроя.","На 1-2 размера больше той, которую носит использующий бронежилет (жилет защитный) или одежду свободного покроя.","На 3-4 размера больше той, которую носит использующий бронежилет (жилет защитный) или одежду свободного покроя.",2,"На 1-2 размера больше той, которую носит использующий бронежилет (жилет защитный) или одежду свободного покроя.",Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы; Спецсредства / бронежилеты и защитные шлемы,
355.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.19,Специальные средства,"Согласно рекомендациям предприятий-производителей, не следует применять аэрозольные устройства, снаряженные слезоточивыми веществами:",Во время дождя или в сырую погоду.,"При встречном ветре, а также в замкнутом пространстве (подъездах, лифтах, транспортных средствах и т.п.).",При температуре окружающего воздуха ниже 0ºС.,2,"При встречном ветре, а также в замкнутом пространстве (подъездах, лифтах, транспортных средствах и т.п.).",Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы,
356.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,4.20,Специальные средства,При эксплуатации электрошоковых устройств (ЭШУ) необходимо:,"Избегать контакта рабочих электродов в области низа живота, поясницы и ягодиц объекта воздействия.","Избегать контакта рабочих электродов в области сердца, головы, шеи и солнечного сплетения объекта воздействия.",Еженедельно зачищать рабочие электроды наждачной бумагой.,2,"Избегать контакта рабочих электродов в области сердца, головы, шеи и солнечного сплетения объекта воздействия.",Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Специальные средства; Специальные средства / все вопросы; Спецсредства / электрошоковые устройства,
357.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,5.1,Огневая подготовка,В каком из перечисленных случаев работнику юридического лица с особыми уставными задачами разрешено использовать огнестрельное оружие?,При исполнении возложенных на него служебных обязанностей по охране при транспортировании оружия (боеприпасов).,При исполнении возложенных на него служебных обязанностей по охране личного транспорта.,При исполнении любых поручений руководства организации.,1,При исполнении возложенных на него служебных обязанностей по охране при транспортировании оружия (боеприпасов).,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Огневая подготовка; Огневая подготовка / все вопросы; Огневая / теория оружия, боеприпасы, баллистика",
358.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,5.2,Огневая подготовка,В каких случаях работник юридического лица с особыми уставными задачами может не предупреждать о намерении применить огнестрельное оружие?,"В любом случае, независимо от создавшейся ситуации.","В случае, если промедление в применении оружия создает непосредственную опасность для жизни.","В случае если есть предпосылки или догадки о том, что может сложиться ситуация, которая повлечет собой угрозу для жизни.",2,"В случае, если промедление в применении оружия создает непосредственную опасность для жизни.","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Огневая подготовка; Огневая подготовка / все вопросы; Огневая / теория оружия, боеприпасы, баллистика",
359.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,5.3,Огневая подготовка,"Какова последовательность действий работника юридического лица с особыми уставными задачами и порядок уведомления должностных лиц о случаях применения им специальных средств или огнестрельного оружия, в результате чего граждане получили телесные повреждения?",Немедленно уведомить прокурора и в возможно короткий срок органы здравоохранения и внутренних дел.,"Обеспечить лицам, получившим телесные повреждения в результате применения специальных средств или огнестрельного оружия, первую помощь. Доложить по подчиненности.","Обеспечить лицам, получившим телесные повреждения в результате применения специальных средств или огнестрельного оружия, первую помощь. Незамедлительно уведомить руководство охраняемого объекта и территориальное подразделение МЧС.",2,"Обеспечить лицам, получившим телесные повреждения в результате применения специальных средств или огнестрельного оружия, первую помощь. Доложить по подчиненности.","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Огневая подготовка; Огневая подготовка / все вопросы; Огневая / теория оружия, боеприпасы, баллистика",
360.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,5.4,Огневая подготовка,"Разрешается ли работнику юридического лица с особыми уставными задачами применять, находящееся на законных основаниях, боевое оружие для подачи сигнала тревоги?",Разрешается.,Не разрешается.,"Разрешается, если указанное лицо находится в условиях плохой видимости.",1,Разрешается.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Огневая подготовка; Огневая подготовка / все вопросы; Огневая / теория оружия, боеприпасы, баллистика",
361.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,5.5,Огневая подготовка,"Обязан ли работник юридического лица с особыми уставными задачами незамедлительно информировать органы внутренних дел в случае, если он произвел выстрел в воздух для предупреждения о намерении применить оружие?",Обязан информировать орган внутренних дел по месту применения оружия.,Не обязан.,Обязан информировать органы внутренних дел по месту нахождения юридического лица с особыми уставными задачами.,2,Не обязан.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Огневая подготовка; Огневая подготовка / все вопросы; Огневая / теория оружия, боеприпасы, баллистика; Огневая / практическая стрельба и упражнения",
